2m/s2  aY: -9.77m/s2  aZ: -0.85m/s2 
null H: 286.75deg  R: -0.69deg  P: 93.88deg  aX: -0.29m/s2  aY: -9.79m/s2  aZ: -0.98m/s2 
 H: 286.75deg  R: -0.75deg  P: 93.94deg  aX: -0.40m/s2  aY: -9.85m/s2  aZ: -0.84m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.00deg  aX: -0.23m/s2  aY: -9.74m/s2  aZ: -0.98m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.06deg  aX: -0.16m/s2  aY: -9.90m/s2  aZ: -0.87m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.06deg  aX: 0.01m/s2  aY: -10.16m/s2  aZ: -0.69m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.06deg  aX: -0.04m/s2  aY: -9.83m/s2  aZ: -0.69m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.06deg  aX: -0.10m/s2  aY: -9.64m/s2  aZ: -0.84m/s2 
 H: 286.69deg  R: -0.81deg  P: 94.13deg  aX: -0.23m/s2  aY: -9.87m/s2  aZ: -0.89m/s2 
 H: 286.75deg  R: -0.81deg  P: 94.19deg  aX: -0.52m/s2  aY: -10.06m/s2  aZ: -0.81m/s2 
 H: 286.81deg  R: -0.81deg  P: 94.19deg  aX: -0.40m/s2  aY: -10.10m/s2  aZ: -0.48m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.13deg  aX: -0.01m/s2  aY: -9.76m/s2  aZ: -0.81m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.13deg  aX: -0.05m/s2  aY: -9.81m/s2  aZ: -0.73m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.19deg  aX: -0.08m/s2  aY: -10.10m/s2  aZ: -0.93m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.19deg  aX: -0.07m/s2  aY: -9.93m/s2  aZ: -1.15m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.28m/s2  aY: -9.65m/s2  aZ: -1.00m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.25deg  aX: -0.24m/s2  aY: -9.78m/s2  aZ: -0.91m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.25deg  aX: -0.18m/s2  aY: -9.98m/s2  aZ: -0.73m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.19deg  aX: -0.27m/s2  aY: -10.09m/s2  aZ: -0.75m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.25deg  aX: -0.32m/s2  aY: -9.82m/s2  aZ: -0.92m/s2 
 H: 286.69deg  R: -0.81deg  P: 94.25deg  aX: -0.32m/s2  aY: -9.90m/s2  aZ: -0.98m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.23m/s2  aY: -9.77m/s2  aZ: -0.80m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.20m/s2  aY: -9.73m/s2  aZ: -0.74m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.31deg  aX: -0.05m/s2  aY: -9.94m/s2  aZ: -0.69m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.25deg  aX: -0.08m/s2  aY: -9.98m/s2  aZ: -0.90m/s2 
 H: 286.69deg  R: -0.75deg  P: 94.25deg  aX: -0.44m/s2  aY: -9.65m/s2  aZ: -1.14m/s2 
 H: 286.69deg  R: -0.81deg  P: 94.31deg  aX: -0.48m/s2  aY: -9.68m/s2  aZ: -1.05m/s2 
 H: 286.75deg  R: -0.81deg  P: 94.31deg  aX: -0.32m/s2  aY: -9.85m/s2  aZ: -0.83m/s2 
 H: 286.75deg  R: -0.81deg  P: 94.19deg  aX: -0.16m/s2  aY: -10.11m/s2  aZ: -0.55m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.19deg  aX: -0.26m/s2  aY: -10.03m/s2  aZ: -0.59m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.19deg  aX: -0.29m/s2  aY: -9.61m/s2  aZ: -1.20m/s2 
 H: 286.75deg  R: -0.75deg  P: 94.25deg  aX: -0.31m/s2  aY: -9.64m/s2  aZ: -1.22m/s2 
 H: 286.75deg  R: -0.81deg  P: 94.31deg  aX: -0.29m/s2  aY: -10.17m/s2  aZ: -0.91m/s2 
