9deg  R: 1.44deg  P: 59.63deg  aX: 0.87m/s2  aY: -8.38m/s2  aZ: 4.98m/s2 
 H: 142.31deg  R: -0.44deg  P: 60.38deg  aX: -0.10m/s2  aY: -8.56m/s2  aZ: 4.71m/s2 
 H: 142.31deg  R: -0.44deg  P: 60.44deg  aX: -0.13m/s2  aY: -8.53m/s2  aZ: 4.58m/s2 
 H: 142.38deg  R: -0.44deg  P: 60.44deg  aX: -0.14m/s2  aY: -8.55m/s2  aZ: 4.69m/s2 
 H: 142.38deg  R: -0.44deg  P: 60.44deg  aX: 0.00m/s2  aY: -8.50m/s2  aZ: 4.79m/s2 
 H: 142.38deg  R: -0.38deg  P: 60.44deg  aX: -0.02m/s2  aY: -8.60m/s2  aZ: 4.82m/s2 
 H: 142.38deg  R: -0.38deg  P: 60.44deg  aX: 0.00m/s2  aY: -8.61m/s2  aZ: 4.68m/s2 
 H: 142.38deg  R: -0.38deg  P: 60.44deg  aX: -0.06m/s2  aY: -8.52m/s2  aZ: 4.66m/s2 
 H: 142.38deg  R: -0.38deg  P: 60.44deg  aX: -0.05m/s2  aY: -8.57m/s2  aZ: 4.71m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: -0.03m/s2  aY: -8.51m/s2  aZ: 4.75m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: -0.05m/s2  aY: -8.54m/s2  aZ: 4.72m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.50deg  aX: -0.03m/s2  aY: -8.58m/s2  aZ: 4.74m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.50deg  aX: -0.12m/s2  aY: -8.60m/s2  aZ: 4.77m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: -0.12m/s2  aY: -8.46m/s2  aZ: 4.69m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.50deg  aX: 0.04m/s2  aY: -8.60m/s2  aZ: 4.72m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: -0.04m/s2  aY: -8.53m/s2  aZ: 4.71m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.44deg  aX: -0.09m/s2  aY: -8.51m/s2  aZ: 4.73m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: 0.00m/s2  aY: -8.50m/s2  aZ: 4.76m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.44deg  aX: -0.04m/s2  aY: -8.58m/s2  aZ: 4.72m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.44deg  aX: -0.09m/s2  aY: -8.56m/s2  aZ: 4.71m/s2 
 H: 142.44deg  R: -0.44deg  P: 60.44deg  aX: -0.04m/s2  aY: -8.56m/s2  aZ: 4.73m/s2 
 H: 142.38deg  R: -0.44deg  P: 60.44deg  aX: -0.15m/s2  aY: -8.50m/s2  aZ: 4.73m/s2 
 H: 142.38deg  R: -0.44deg  P: 60.44deg  aX: -0.01m/s2  aY: -8.47m/s2  aZ: 4.79m/s2 
 H: 142.38deg  R: -0.44deg  P: 60.44deg  aX: -0.02m/s2  aY: -8.46m/s2  aZ: 4.73m/s2 
