 H: 139.19deg  R: 0.06deg  P: 48.19deg  aX: 0.05m/s2  aY: -7.91m/s2  aZ: 6.38m/s2 
 H: 139.38deg  R: -0.06deg  P: 47.81deg  aX: -0.14m/s2  aY: -7.56m/s2  aZ: 6.43m/s2 
 H: 139.44deg  R: -0.13deg  P: 47.63deg  aX: -0.16m/s2  aY: -7.43m/s2  aZ: 6.39m/s2 
 H: 139.44deg  R: -0.25deg  P: 47.31deg  aX: -0.15m/s2  aY: -7.66m/s2  aZ: 5.95m/s2 
 H: 139.38deg  R: -0.38deg  P: 46.94deg  aX: -0.14m/s2  aY: -7.39m/s2  aZ: 6.33m/s2 
 H: 139.38deg  R: -0.50deg  P: 46.56deg  aX: 0.12m/s2  aY: -6.89m/s2  aZ: 7.22m/s2 
 H: 139.50deg  R: -0.63deg  P: 46.25deg  aX: 0.16m/s2  aY: -6.39m/s2  aZ: 7.27m/s2 
 H: 139.75deg  R: -0.75deg  P: 46.00deg  aX: -0.15m/s2  aY: -6.08m/s2  aZ: 7.22m/s2 
 H: 139.94deg  R: -0.81deg  P: 45.94deg  aX: -0.79m/s2  aY: -6.60m/s2  aZ: 7.07m/s2 
 H: 140.06deg  R: -0.88deg  P: 45.94deg  aX: -0.55m/s2  aY: -6.79m/s2  aZ: 6.77m/s2 
 H: 140.19deg  R: -0.88deg  P: 46.06deg  aX: -0.07m/s2  aY: -7.53m/s2  aZ: 6.37m/s2 
 H: 140.25deg  R: -0.88deg  P: 46.06deg  aX: -0.20m/s2  aY: -7.55m/s2  aZ: 6.29m/s2 
 H: 140.56deg  R: -0.88deg  P: 46.06deg  aX: -0.25m/s2  aY: -7.00m/s2  aZ: 7.03m/s2 
 H: 140.69deg  R: -0.88deg  P: 46.06deg  aX: 0.00m/s2  aY: -7.04m/s2  aZ: 6.62m/s2 
 H: 140.88deg  R: -0.81deg  P: 46.06deg  aX: -0.05m/s2  aY: -6.97m/s2  aZ: 6.57m/s2 
 H: 141.13deg  R: -0.81deg  P: 46.13deg  aX: -0.76m/s2  aY: -7.07m/s2  aZ: 6.91m/s2 
 H: 141.25deg  R: -0.75deg  P: 46.13deg  aX: -0.37m/s2  aY: -6.79m/s2  aZ: 7.08m/s2 
 H: 141.31deg  R: -0.69deg  P: 46.31deg  aX: 0.24m/s2  aY: -6.61m/s2  aZ: 7.08m/s2 
 H: 141.63deg  R: -0.56deg  P: 46.63deg  aX: -0.15m/s2  aY: -7.32m/s2  aZ: 6.51m/s2 
 H: 141.81deg  R: -0.50deg  P: 46.81deg  aX: -0.30m/s2  aY: -7.60m/s2  aZ: 6.41m/s2 
 H: 141.88deg  R: -0.50deg  P: 46.94deg  aX: -0.07m/s2  aY: -7.32m/s2  aZ: 6.63m/s2 
 H: 142.00deg  R: -0.44deg  P: 47.13deg  aX: 0.13m/s2  aY: -7.23m/s2  aZ: 6.74m/s2 
 H: 142.06deg  R: -0.44deg  P: 47.31deg  aX: 0.10m/s2  aY: -7.38m/s2  aZ: 6.42m/s2 
 H: 142.19deg  R: -0.38deg  P: 47.50deg  aX: -0.87m/s2  aY: -7.74m/s2  aZ: 6.29m/s2 
 H: 142.19deg  R: -0.31deg  P: 47.63deg  aX: -0.64m/s2  aY: -7.68m/s2  aZ: 6.49m/s2 
 H: 142.06deg  R: -0.25deg  P: 47.69deg  aX: 0.42m/s2  aY: -7.23m/s2  aZ: 6.63m/s2 
 H: 141.88deg  R: -0.25deg  P: 47.81deg  aX: 0.73m/s2  aY: -7.14m/s2  aZ: 6.65m/s2 
 H: 141.81deg  R: -0.25deg  P: 47.88deg  aX: 0.06m/s2  aY: -7.17m/s2  aZ: 6.59m/s2 
 H: 141.56deg  R: -0.25deg  P: 48.06deg  aX: -0.10m/s2  aY: -7.33m/s2  aZ: 6.52m/s2 
 H: 141.25deg  R: -0.38deg  P: 48.44deg  aX: 0.37m/s2  aY: -7.36m/s2  aZ: 6.49m/s2 
 H: 141.25deg  R: -0.50deg  P: 48.63deg  aX: 0.27m/s2  aY: -7.30m/s2  aZ: 6.49m/s2 
 H: 141.31deg  R: -0.63deg  P: 48.81deg  aX: 0.04m/s2  aY: -7.15m/s2  aZ: 6.61m/s2 
 H: 141.63deg  R: -0.75deg  P: 49.19deg  aX: -0.33m/s2  aY: -7.23m/s2  aZ: 6.56m/s2 
 H: 141.69deg  R: -0.81deg  P: 49.31deg  aX: -0.21m/s2  aY: -7.36m/s2  aZ: 6.45m/s2 
 H: 141.94deg  R: -0.88deg  P: 49.69deg  aX: -0.12m/s2  aY: -7.44m/s2  aZ: 6.31m/s2 
 H: 142.06deg  R: -0.94deg  P: 49.88deg  aX: -0.28m/s2  aY: -7.60m/s2  aZ: 6.24m/s2 
 H: 142.25deg  R: -1.00deg  P: 50.13deg  aX: -0.21m/s2  aY: -7.76m/s2  aZ: 5.87m/s2 
 H: 142.44deg  R: -1.00deg  P: 50.38deg  aX: -0.37m/s2  aY: -8.18m/s2  aZ: 5.85m/s2 
 H: 142.69deg  R: -1.06deg  P: 50.75deg  aX: -0.43m/s2  aY: -8.09m/s2  aZ: 5.88m/s2 
 H: 142.69deg  R: -1.06deg  P: 50.88deg  aX: -0.45m/s2  aY: -7.59m/s2  aZ: 6.01m/s2 
 H: 142.63deg  R: -1.13deg  P: 51.06deg  aX: -0.40m/s2  aY: -7.64m/s2  aZ: 6.14m/s2 
 H: 142.56deg  R: -1.06deg  P: 51.19deg  aX: 0.01m/s2  aY: -7.60m/s2  aZ: 6.17m/s2 
 H: 142.63deg  R: -1.06deg  P: 51.38deg  aX: -0.09m/s2  aY: -7.91m/s2  aZ: 5.97m/s2 
 H: 142.81deg  R: -1.06deg  P: 51.50deg  aX: -0.50m/s2  aY: -7.88m/s2  aZ: 5.86m/s2 
 H: 142.81deg  R: -1.06deg  P: 51.63deg  aX: -0.32m/s2  aY: -7.64m/s2  aZ: 5.94m/s2 
 H: 142.69deg  R: -1.06deg  P: 51.81deg  aX: 0.25m/s2  aY: -7.95m/s2  aZ: 5.87m/s2 
 H: 142.69deg  R: -1.06deg  P: 51.88deg  aX: -0.48m/s2  aY: -7.84m/s2  aZ: 6.11m/s2 
 H: 142.75deg  R: -1.00deg  P: 51.94deg  aX: -0.32m/s2  aY: -7.81m/s2  aZ: 5.97m/s2 
 H: 142.81deg  R: -1.00deg  P: 52.06deg  aX: -0.04m/s2  aY: -7.60m/s2  aZ: 5.97m/s2 
 H: 142.88deg  R: -1.00deg  P: 52.13deg  aX: -0.11m/s2  aY: -7.74m/s2  aZ: 5.97m/s2 
 H: 143.00deg  R: -0.94deg  P: 52.25deg  aX: -0.28m/s2  aY: -8.10m/s2  aZ: 5.65m/s2 
 H: 143.00deg  R: -0.88deg  P: 52.38deg  aX: -0.09m/s2  aY: -7.86m/s2  aZ: 5.83m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.44deg  aX: -0.15m/s2  aY: -7.93m/s2  aZ: 5.72m/s2 
 H: 143.13deg  R: -0.81deg  P: 52.50deg  aX: -0.06m/s2  aY: -8.03m/s2  aZ: 5.91m/s2 
 H: 143.13deg  R: -0.75deg  P: 52.50deg  aX: -0.23m/s2  aY: -7.94m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.75deg  P: 52.50deg  aX: -0.27m/s2  aY: -7.85m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: 0.06m/s2  aY: -7.59m/s2  aZ: 6.06m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: 0.14m/s2  aY: -7.78m/s2  aZ: 6.03m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: -0.21m/s2  aY: -7.97m/s2  aZ: 5.78m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: -0.25m/s2  aY: -7.95m/s2  aZ: 5.74m/s2 
 H: 143.06deg  R: -0.63deg  P: 52.50deg  aX: -0.07m/s2  aY: -7.78m/s2  aZ: 5.97m/s2 
 H: 143.06deg  R: -0.63deg  P: 52.50deg  aX: 0.00m/s2  aY: -7.75m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.11m/s2  aY: -7.93m/s2  aZ: 5.88m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.09m/s2  aY: -7.90m/s2  aZ: 5.91m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.07m/s2  aY: -7.81m/s2  aZ: 5.98m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.06m/s2  aY: -7.76m/s2  aZ: 5.93m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.09m/s2  aY: -7.82m/s2  aZ: 5.88m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.56deg  aX: -0.10m/s2  aY: -7.84m/s2  aZ: 5.96m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.03m/s2  aY: -7.90m/s2  aZ: 5.90m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.06m/s2  aY: -8.01m/s2  aZ: 5.84m/s2 
 H: 143.19deg  R: -0.69deg  P: 52.56deg  aX: -0.21m/s2  aY: -7.93m/s2  aZ: 5.82m/s2 
