 H: 90.00deg  R: -19.38deg  P: -25.56deg  aX: -2.62m/s2  aY: 4.14m/s2  aZ: 7.63m/s2 
 H: 90.06deg  R: -19.50deg  P: -25.13deg  aX: -2.91m/s2  aY: 4.07m/s2  aZ: 8.28m/s2 
 H: 90.13deg  R: -19.63deg  P: -25.00deg  aX: -2.86m/s2  aY: 3.63m/s2  aZ: 7.76m/s2 
 H: 90.19deg  R: -19.69deg  P: -24.69deg  aX: -2.84m/s2  aY: 3.84m/s2  aZ: 7.79m/s2 
 H: 90.25deg  R: -19.75deg  P: -24.44deg  aX: -2.76m/s2  aY: 3.78m/s2  aZ: 7.70m/s2 
 H: 90.25deg  R: -19.75deg  P: -24.25deg  aX: -2.40m/s2  aY: 3.78m/s2  aZ: 7.59m/s2 
 H: 90.31deg  R: -19.88deg  P: -24.06deg  aX: -2.93m/s2  aY: 3.43m/s2  aZ: 7.75m/s2 
 H: 90.31deg  R: -20.00deg  P: -23.94deg  aX: -3.15m/s2  aY: 3.32m/s2  aZ: 7.65m/s2 
 H: 90.38deg  R: -20.06deg  P: -23.81deg  aX: -3.30m/s2  aY: 3.61m/s2  aZ: 8.05m/s2 
 H: 90.38deg  R: -20.06deg  P: -23.69deg  aX: -2.77m/s2  aY: 3.69m/s2  aZ: 8.37m/s2 
 H: 90.38deg  R: -20.06deg  P: -23.63deg  aX: -3.00m/s2  aY: 3.87m/s2  aZ: 7.53m/s2 
 H: 90.38deg  R: -20.13deg  P: -23.50deg  aX: -2.75m/s2  aY: 3.70m/s2  aZ: 7.81m/s2 
 H: 90.38deg  R: -20.13deg  P: -23.50deg  aX: -2.92m/s2  aY: 3.70m/s2  aZ: 7.63m/s2 
 H: 90.31deg  R: -20.19deg  P: -23.44deg  aX: -3.05m/s2  aY: 3.70m/s2  aZ: 7.42m/s2 
 H: 90.25deg  R: -20.25deg  P: -23.44deg  aX: -2.64m/s2  aY: 3.57m/s2  aZ: 8.18m/s2 
 H: 90.19deg  R: -20.25deg  P: -23.38deg  aX: -2.74m/s2  aY: 3.78m/s2  aZ: 8.16m/s2 
 H: 90.13deg  R: -20.25deg  P: -23.44deg  aX: -3.04m/s2  aY: 3.62m/s2  aZ: 8.27m/s2 
 H: 90.13deg  R: -20.19deg  P: -23.50deg  aX: -3.15m/s2  aY: 3.60m/s2  aZ: 7.90m/s2 
 H: 90.06deg  R: -20.19deg  P: -23.56deg  aX: -2.81m/s2  aY: 3.51m/s2  aZ: 8.02m/s2 
 H: 90.06deg  R: -20.19deg  P: -23.63deg  aX: -2.99m/s2  aY: 3.69m/s2  aZ: 8.21m/s2 
 H: 90.06deg  R: -20.13deg  P: -23.75deg  aX: -3.43m/s2  aY: 3.50m/s2  aZ: 8.41m/s2 
 H: 90.06deg  R: -20.13deg  P: -23.81deg  aX: -3.36m/s2  aY: 3.44m/s2  aZ: 8.37m/s2 
 H: 90.06deg  R: -20.13deg  P: -23.94deg  aX: -3.26m/s2  aY: 3.42m/s2  aZ: 8.43m/s2 
 H: 90.00deg  R: -20.13deg  P: -24.00deg  aX: -3.18m/s2  aY: 3.76m/s2  aZ: 8.62m/s2 
 H: 90.00deg  R: -20.06deg  P: -24.06deg  aX: -3.26m/s2  aY: 3.98m/s2  aZ: 8.51m/s2 
 H: 89.94deg  R: -20.06deg  P: -24.06deg  aX: -3.12m/s2  aY: 3.87m/s2  aZ: 8.87m/s2 
 H: 89.94deg  R: -20.06deg  P: -24.13deg  aX: -3.40m/s2  aY: 3.78m/s2  aZ: 8.49m/s2 
 H: 89.94deg  R: -20.06deg  P: -24.13deg  aX: -3.13m/s2  aY: 3.60m/s2  aZ: 8.60m/s2 
 H: 89.88deg  R: -20.00deg  P: -24.06deg  aX: -3.05m/s2  aY: 3.87m/s2  aZ: 8.90m/s2 
 H: 89.94deg  R: -20.00deg  P: -24.06deg  aX: -3.01m/s2  aY: 3.85m/s2  aZ: 8.14m/s2 
 H: 89.94deg  R: -20.00deg  P: -24.06deg  aX: -2.63m/s2  aY: 3.88m/s2  aZ: 8.48m/s2 
 H: 89.94deg  R: -20.06deg  P: -24.00deg  aX: -2.65m/s2  aY: 4.06m/s2  aZ: 7.90m/s2 
 H: 90.00deg  R: -20.13deg  P: -23.94deg  aX: -2.91m/s2  aY: 4.02m/s2  aZ: 8.18m/s2 
 H: 90.00deg  R: -20.13deg  P: -23.88deg  aX: -2.89m/s2  aY: 3.69m/s2  aZ: 8.51m/s2 
 H: 90.06deg  R: -20.13deg  P: -23.81deg  aX: -3.42m/s2  aY: 3.80m/s2  aZ: 8.52m/s2 
 H: 90.13deg  R: -20.13deg  P: -23.81deg  aX: -3.29m/s2  aY: 3.59m/s2  aZ: 8.48m/s2 
 H: 90.19deg  R: -20.00deg  P: -23.75deg  aX: -3.07m/s2  aY: 3.30m/s2  aZ: 8.68m/s2 
 H: 90.31deg  R: -20.00deg  P: -23.69deg  aX: -3.18m/s2  aY: 3.18m/s2  aZ: 8.14m/s2 
 H: 90.50deg  R: -20.00deg  P: -23.56deg  aX: -3.30m/s2  aY: 3.06m/s2  aZ: 8.32m/s2 
 H: 90.56deg  R: -20.00deg  P: -23.56deg  aX: -3.44m/s2  aY: 3.70m/s2  aZ: 8.35m/s2 
 H: 90.63deg  R: -20.06deg  P: -23.56deg  aX: -3.34m/s2  aY: 3.85m/s2  aZ: 8.48m/s2 
 H: 90.69deg  R: -20.06deg  P: -23.56deg  aX: -2.96m/s2  aY: 4.04m/s2  aZ: 8.64m/s2 
 H: 90.75deg  R: -20.06deg  P: -23.50deg  aX: -3.11m/s2  aY: 3.67m/s2  aZ: 8.31m/s2 
 H: 90.75deg  R: -20.13deg  P: -23.44deg  aX: -2.96m/s2  aY: 3.55m/s2  aZ: 8.30m/s2 
 H: 90.75deg  R: -20.13deg  P: -23.38deg  aX: -3.23m/s2  aY: 3.76m/s2  aZ: 8.23m/s2 
 H: 90.81deg  R: -20.19deg  P: -23.38deg  aX: -3.24m/s2  aY: 3.60m/s2  aZ: 8.32m/s2 
 H: 90.81deg  R: -20.19deg  P: -23.38deg  aX: -3.09m/s2  aY: 3.60m/s2  aZ: 8.36m/s2 
 H: 90.81deg  R: -20.19deg  P: -23.38deg  aX: -3.12m/s2  aY: 3.42m/s2  aZ: 8.33m/s2 
 H: 90.75deg  R: -20.13deg  P: -23.31deg  aX: -3.19m/s2  aY: 3.56m/s2  aZ: 7.95m/s2 
 H: 90.75deg  R: -20.13deg  P: -23.31deg  aX: -2.77m/s2  aY: 3.65m/s2  aZ: 8.64m/s2 
 H: 90.75deg  R: -20.13deg  P: -23.25deg  aX: -2.88m/s2  aY: 3.93m/s2  aZ: 8.07m/s2 
 H: 90.75deg  R: -20.19deg  P: -23.31deg  aX: -3.35m/s2  aY: 3.84m/s2  aZ: 8.45m/s2 
 H: 90.75deg  R: -20.25deg  P: -23.31deg  aX: -3.32m/s2  aY: 3.59m/s2  aZ: 8.29m/s2 
 H: 90.75deg  R: -20.31deg  P: -23.25deg  aX: -3.18m/s2  aY: 3.64m/s2  aZ: 8.47m/s2 
 H: 90.75deg  R: -20.31deg  P: -23.25deg  aX: -3.11m/s2  aY: 3.75m/s2  aZ: 8.26m/s2 
 H: 90.75deg  R: -20.31deg  P: -23.25deg  aX: -3.21m/s2  aY: 3.77m/s2  aZ: 8.31m/s2 
 H: 90.75deg  R: -20.31deg  P: -23.25deg  aX: -3.30m/s2  aY: 3.62m/s2  aZ: 7.92m/s2 
 H: 90.75deg  R: -20.38deg  P: -23.25deg  aX: -3.13m/s2  aY: 3.54m/s2  aZ: 8.07m/s2 
 H: 90.75deg  R: -20.38deg  P: -23.19deg  aX: -3.40m/s2  aY: 3.66m/s2  aZ: 8.39m/s2 
 H: 90.75deg  R: -20.44deg  P: -23.19deg  aX: -3.00m/s2  aY: 3.35m/s2  aZ: 8.17m/s2 
 H: 90.75deg  R: -20.44deg  P: -23.19deg  aX: -3.21m/s2  aY: 3.89m/s2  aZ: 8.20m/s2 
 H: 90.75deg  R: -20.38deg  P: -23.25deg  aX: -3.22m/s2  aY: 3.73m/s2  aZ: 8.13m/s2 
 H: 90.75deg  R: -20.44deg  P: -23.25deg  aX: -3.39m/s2  aY: 3.56m/s2  aZ: 7.84m/s2 
 H: 90.69deg  R: -20.44deg  P: -23.31deg  aX: -3.15m/s2  aY: 3.86m/s2  aZ: 8.30m/s2 
 H: 90.69deg  R: -20.38deg  P: -23.31deg  aX: -3.20m/s2  aY: 3.76m/s2  aZ: 8.16m/s2 
 H: 90.69deg  R: -20.38deg  P: -23.31deg  aX: -3.16m/s2  aY: 3.63m/s2  aZ: 8.58m/s2 
 H: 90.69deg  R: -20.38deg  P: -23.31deg  aX: -3.69m/s2  aY: 3.63m/s2  aZ: 8.50m/s2 
 H: 90.75deg  R: -20.38deg  P: -23.31deg  aX: -3.73m/s2  aY: 3.63m/s2  aZ: 8.80m/s2 
 H: 90.75deg  R: -20.38deg  P: -23.31deg  aX: -3.20m/s2  aY: 3.50m/s2  aZ: 8.52m/s2 
 H: 90.81deg  R: -20.44deg  P: -23.31deg  aX: -3.46m/s2  aY: 3.56m/s2  aZ: 8.38m/s2 
 H: 90.94deg  R: -20.44deg  P: -23.25deg  aX: -3.39m/s2  aY: 3.40m/s2  aZ: 8.50m/s2 
 H: 91.00deg  R: -20.50deg  P: -23.25deg  aX: -3.38m/s2  aY: 3.69m/s2  aZ: 8.49m/s2 
 H: 91.06deg  R: -20.50deg  P: -23.13deg  aX: -3.32m/s2  aY: 3.60m/s2  aZ: 9.11m/s2 
 H: 91.06deg  R: -20.50deg  P: -23.13deg  aX: -3.51m/s2  aY: 3.61m/s2  aZ: 8.25m/s2 
 H: 91.06deg  R: -20.56deg  P: -23.06deg  aX: -3.53m/s2  aY: 3.42m/s2  aZ: 8.36m/s2 
 H: 91.06deg  R: -20.63deg  P: -22.94deg  aX: -3.23m/s2  aY: 3.72m/s2  aZ: 8.11m/s2 
 H: 91.13deg  R: -20.63deg  P: -22.88deg  aX: -2.99m/s2  aY: 3.54m/s2  aZ: 8.11m/s2 
 H: 91.13deg  R: -20.63deg  P: -22.81deg  aX: -3.17m/s2  aY: 3.62m/s2  aZ: 8.34m/s2 
 H: 91.19deg  R: -20.69deg  P: -22.75deg  aX: -3.34m/s2  aY: 3.86m/s2  aZ: 8.41m/s2 
 H: 91.19deg  R: -20.69deg  P: -22.75deg  aX: -3.23m/s2  aY: 3.88m/s2  aZ: 8.08m/s2 
 H: 91.19deg  R: -20.69deg  P: -22.69deg  aX: -3.02m/s2  aY: 3.61m/s2  aZ: 8.60m/s2 
