 H: 252.94deg  R: -6.19deg  P: 96.88deg  aX: -1.21m/s2  aY: -9.74m/s2  aZ: -0.73m/s2 
 H: 252.63deg  R: -6.25deg  P: 96.94deg  aX: -1.15m/s2  aY: -8.99m/s2  aZ: -0.62m/s2 
 H: 252.38deg  R: -6.38deg  P: 97.25deg  aX: -1.50m/s2  aY: -10.49m/s2  aZ: -1.17m/s2 
 H: 252.44deg  R: -6.31deg  P: 97.31deg  aX: -2.12m/s2  aY: -9.79m/s2  aZ: -2.09m/s2 
 H: 252.31deg  R: -6.38deg  P: 97.44deg  aX: -1.20m/s2  aY: -9.90m/s2  aZ: -1.94m/s2 
 H: 251.63deg  R: -6.31deg  P: 97.13deg  aX: -1.50m/s2  aY: -9.79m/s2  aZ: -1.69m/s2 
 H: 251.88deg  R: -6.13deg  P: 96.75deg  aX: -1.57m/s2  aY: -9.60m/s2  aZ: -1.23m/s2 
 H: 251.81deg  R: -5.94deg  P: 96.31deg  aX: -0.87m/s2  aY: -9.72m/s2  aZ: -1.00m/s2 
 H: 251.94deg  R: -5.81deg  P: 96.00deg  aX: -0.67m/s2  aY: -9.05m/s2  aZ: -0.32m/s2 
 H: 252.06deg  R: -5.56deg  P: 95.69deg  aX: -0.92m/s2  aY: -8.99m/s2  aZ: -0.79m/s2 
 H: 252.44deg  R: -5.38deg  P: 95.31deg  aX: -0.71m/s2  aY: -9.27m/s2  aZ: -0.79m/s2 
 H: 252.69deg  R: -5.19deg  P: 95.06deg  aX: -0.76m/s2  aY: -9.32m/s2  aZ: -0.24m/s2 
 H: 252.69deg  R: -5.06deg  P: 94.88deg  aX: -1.27m/s2  aY: -9.71m/s2  aZ: -0.06m/s2 
 H: 252.75deg  R: -5.00deg  P: 94.75deg  aX: -1.51m/s2  aY: -9.43m/s2  aZ: -0.63m/s2 
 H: 252.81deg  R: -4.94deg  P: 94.56deg  aX: -1.58m/s2  aY: -9.33m/s2  aZ: -0.84m/s2 
