 H: 13.25deg  R: 0.31deg  P: 110.69deg  aX: -0.13m/s2  aY: -9.34m/s2  aZ: -3.36m/s2 
 H: 13.13deg  R: 0.25deg  P: 110.63deg  aX: -0.01m/s2  aY: -9.41m/s2  aZ: -3.27m/s2 
 H: 13.06deg  R: 0.25deg  P: 110.63deg  aX: -0.02m/s2  aY: -9.27m/s2  aZ: -3.42m/s2 
 H: 13.00deg  R: 0.25deg  P: 110.63deg  aX: -0.18m/s2  aY: -9.47m/s2  aZ: -3.46m/s2 
 H: 12.94deg  R: 0.25deg  P: 110.63deg  aX: -0.01m/s2  aY: -9.48m/s2  aZ: -3.31m/s2 
 H: 12.88deg  R: 0.19deg  P: 110.63deg  aX: -0.05m/s2  aY: -9.35m/s2  aZ: -3.45m/s2 
 H: 12.88deg  R: 0.19deg  P: 110.63deg  aX: 0.04m/s2  aY: -9.27m/s2  aZ: -3.31m/s2 
 H: 12.88deg  R: 0.13deg  P: 110.56deg  aX: -0.22m/s2  aY: -9.39m/s2  aZ: -3.41m/s2 
 H: 12.81deg  R: 0.13deg  P: 110.56deg  aX: 0.00m/s2  aY: -9.49m/s2  aZ: -3.35m/s2 
 H: 12.75deg  R: 0.06deg  P: 110.56deg  aX: -0.14m/s2  aY: -9.28m/s2  aZ: -3.38m/s2 
 H: 12.69deg  R: 0.06deg  P: 110.56deg  aX: -0.06m/s2  aY: -9.66m/s2  aZ: -3.32m/s2 
 H: 12.69deg  R: 0.00deg  P: 110.56deg  aX: -0.21m/s2  aY: -9.38m/s2  aZ: -3.50m/s2 
 H: 12.56deg  R: 0.00deg  P: 110.56deg  aX: -0.20m/s2  aY: -9.30m/s2  aZ: -3.33m/s2 
 H: 12.50deg  R: -0.06deg  P: 110.56deg  aX: -0.05m/s2  aY: -9.42m/s2  aZ: -3.37m/s2 
 H: 12.44deg  R: -0.06deg  P: 110.56deg  aX: -0.09m/s2  aY: -9.50m/s2  aZ: -3.40m/s2 
 H: 12.44deg  R: -0.13deg  P: 110.56deg  aX: -0.20m/s2  aY: -9.47m/s2  aZ: -3.45m/s2 
 H: 12.38deg  R: -0.13deg  P: 110.50deg  aX: -0.17m/s2  aY: -9.23m/s2  aZ: -3.37m/s2 
 H: 12.31deg  R: -0.19deg  P: 110.50deg  aX: -0.19m/s2  aY: -9.24m/s2  aZ: -3.36m/s2 
 H: 12.25deg  R: -0.25deg  P: 110.44deg  aX: -0.15m/s2  aY: -9.47m/s2  aZ: -3.37m/s2 
 H: 12.25deg  R: -0.25deg  P: 110.44deg  aX: -0.20m/s2  aY: -9.59m/s2  aZ: -3.32m/s2 
 H: 12.13deg  R: -0.31deg  P: 110.44deg  aX: -0.14m/s2  aY: -9.24m/s2  aZ: -3.32m/s2 
 H: 12.06deg  R: -0.38deg  P: 110.44deg  aX: -0.16m/s2  aY: -9.41m/s2  aZ: -3.31m/s2 
 H: 12.00deg  R: -0.44deg  P: 110.44deg  aX: -0.25m/s2  aY: -9.43m/s2  aZ: -3.34m/s2 
 H: 11.94deg  R: -0.50deg  P: 110.44deg  aX: -0.17m/s2  aY: -9.56m/s2  aZ: -3.40m/s2 
 H: 11.88deg  R: -0.50deg  P: 110.44deg  aX: -0.08m/s2  aY: -9.26m/s2  aZ: -3.23m/s2 
 H: 11.88deg  R: -0.50deg  P: 110.44deg  aX: -0.34m/s2  aY: -9.44m/s2  aZ: -3.45m/s2 
 H: 11.81deg  R: -0.56deg  P: 110.44deg  aX: -0.09m/s2  aY: -9.58m/s2  aZ: -3.24m/s2 
 H: 11.75deg  R: -0.56deg  P: 110.44deg  aX: -0.37m/s2  aY: -9.27m/s2  aZ: -3.48m/s2 
 H: 11.69deg  R: -0.63deg  P: 110.50deg  aX: -0.27m/s2  aY: -9.32m/s2  aZ: -3.46m/s2 
 H: 11.69deg  R: -0.63deg  P: 110.50deg  aX: -0.22m/s2  aY: -9.47m/s2  aZ: -3.40m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.18m/s2  aY: -9.61m/s2  aZ: -3.45m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.19m/s2  aY: -9.27m/s2  aZ: -3.13m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.28m/s2  aY: -9.13m/s2  aZ: -3.46m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.17m/s2  aY: -9.83m/s2  aZ: -3.32m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.30m/s2  aY: -9.54m/s2  aZ: -3.42m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.50deg  aX: -0.19m/s2  aY: -9.25m/s2  aZ: -3.28m/s2 
 H: 11.63deg  R: -0.63deg  P: 110.44deg  aX: -0.35m/s2  aY: -9.37m/s2  aZ: -3.42m/s2 
 H: 11.69deg  R: -0.63deg  P: 110.44deg  aX: -0.11m/s2  aY: -9.63m/s2  aZ: -3.31m/s2 
 H: 11.69deg  R: -0.56deg  P: 110.38deg  aX: -0.27m/s2  aY: -9.38m/s2  aZ: -3.40m/s2 
 H: 11.69deg  R: -0.56deg  P: 110.31deg  aX: -0.16m/s2  aY: -9.37m/s2  aZ: -3.32m/s2 
 H: 11.69deg  R: -0.56deg  P: 110.31deg  aX: -0.08m/s2  aY: -9.30m/s2  aZ: -3.28m/s2 
 H: 11.75deg  R: -0.50deg  P: 110.31deg  aX: -0.19m/s2  aY: -9.45m/s2  aZ: -3.42m/s2 
 H: 11.75deg  R: -0.50deg  P: 110.31deg  aX: -0.07m/s2  aY: -9.58m/s2  aZ: -3.28m/s2 
 H: 11.75deg  R: -0.44deg  P: 110.25deg  aX: -0.17m/s2  aY: -9.49m/s2  aZ: -3.29m/s2 
