 H: 3.88deg  R: 0.88deg  P: 107.06deg  aX: 0.22m/s2  aY: -9.44m/s2  aZ: -2.76m/s2 
 H: 3.81deg  R: 0.81deg  P: 107.19deg  aX: 0.00m/s2  aY: -9.68m/s2  aZ: -2.93m/s2 
 H: 3.75deg  R: 0.75deg  P: 107.25deg  aX: 0.04m/s2  aY: -8.89m/s2  aZ: -2.91m/s2 
 H: 3.69deg  R: 0.69deg  P: 107.25deg  aX: 0.30m/s2  aY: -9.61m/s2  aZ: -2.75m/s2 
 H: 3.75deg  R: 0.63deg  P: 107.31deg  aX: 0.10m/s2  aY: -9.34m/s2  aZ: -3.07m/s2 
 H: 3.63deg  R: 0.63deg  P: 107.38deg  aX: 0.20m/s2  aY: -9.47m/s2  aZ: -2.90m/s2 
 H: 3.69deg  R: 0.63deg  P: 107.38deg  aX: 0.14m/s2  aY: -9.17m/s2  aZ: -2.90m/s2 
 H: 3.69deg  R: 0.63deg  P: 107.38deg  aX: 0.26m/s2  aY: -9.42m/s2  aZ: -2.91m/s2 
 H: 3.63deg  R: 0.56deg  P: 107.44deg  aX: 0.13m/s2  aY: -9.65m/s2  aZ: -3.01m/s2 
 H: 3.63deg  R: 0.56deg  P: 107.44deg  aX: 0.07m/s2  aY: -9.53m/s2  aZ: -2.93m/s2 
 H: 3.56deg  R: 0.56deg  P: 107.44deg  aX: 0.19m/s2  aY: -9.45m/s2  aZ: -2.76m/s2 
 H: 3.50deg  R: 0.50deg  P: 107.44deg  aX: 0.10m/s2  aY: -9.41m/s2  aZ: -2.86m/s2 
 H: 3.56deg  R: 0.50deg  P: 107.38deg  aX: 0.27m/s2  aY: -9.48m/s2  aZ: -2.83m/s2 
 H: 3.50deg  R: 0.44deg  P: 107.38deg  aX: -0.04m/s2  aY: -9.51m/s2  aZ: -3.01m/s2 
 H: 3.44deg  R: 0.38deg  P: 107.31deg  aX: 0.13m/s2  aY: -9.56m/s2  aZ: -2.72m/s2 
 H: 3.44deg  R: 0.38deg  P: 107.31deg  aX: 0.10m/s2  aY: -9.22m/s2  aZ: -2.93m/s2 
 H: 3.44deg  R: 0.38deg  P: 107.31deg  aX: 0.15m/s2  aY: -9.41m/s2  aZ: -2.90m/s2 
 H: 3.44deg  R: 0.38deg  P: 107.31deg  aX: 0.09m/s2  aY: -9.27m/s2  aZ: -2.85m/s2 
 H: 3.50deg  R: 0.38deg  P: 107.31deg  aX: 0.16m/s2  aY: -9.58m/s2  aZ: -2.92m/s2 
 H: 3.50deg  R: 0.44deg  P: 107.31deg  aX: 0.18m/s2  aY: -9.25m/s2  aZ: -2.67m/s2 
 H: 3.56deg  R: 0.44deg  P: 107.31deg  aX: -0.03m/s2  aY: -9.30m/s2  aZ: -3.01m/s2 
 H: 3.56deg  R: 0.44deg  P: 107.31deg  aX: 0.09m/s2  aY: -9.59m/s2  aZ: -2.96m/s2 
 H: 3.56deg  R: 0.44deg  P: 107.25deg  aX: 0.24m/s2  aY: -9.55m/s2  aZ: -2.76m/s2 
 H: 3.63deg  R: 0.44deg  P: 107.25deg  aX: 0.18m/s2  aY: -9.55m/s2  aZ: -2.80m/s2 
 H: 3.69deg  R: 0.44deg  P: 107.25deg  aX: 0.01m/s2  aY: -9.26m/s2  aZ: -2.93m/s2 
 H: 3.63deg  R: 0.44deg  P: 107.25deg  aX: 0.26m/s2  aY: -9.35m/s2  aZ: -2.76m/s2 
 H: 3.63deg  R: 0.44deg  P: 107.19deg  aX: 0.07m/s2  aY: -9.26m/s2  aZ: -2.95m/s2 
 H: 3.69deg  R: 0.44deg  P: 107.19deg  aX: 0.18m/s2  aY: -9.43m/s2  aZ: -2.81m/s2 
 H: 3.63deg  R: 0.38deg  P: 107.25deg  aX: 0.18m/s2  aY: -9.43m/s2  aZ: -2.56m/s2 
 H: 3.63deg  R: 0.31deg  P: 107.25deg  aX: 0.06m/s2  aY: -9.62m/s2  aZ: -2.87m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.31deg  aX: 0.06m/s2  aY: -9.24m/s2  aZ: -2.89m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.31deg  aX: 0.14m/s2  aY: -9.47m/s2  aZ: -2.82m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.38deg  aX: -0.04m/s2  aY: -9.23m/s2  aZ: -2.82m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.38deg  aX: 0.06m/s2  aY: -9.33m/s2  aZ: -2.99m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.44deg  aX: 0.05m/s2  aY: -9.41m/s2  aZ: -2.92m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.50deg  aX: 0.09m/s2  aY: -9.43m/s2  aZ: -2.89m/s2 
 H: 3.56deg  R: 0.25deg  P: 107.56deg  aX: 0.17m/s2  aY: -9.24m/s2  aZ: -2.86m/s2 
 H: 3.63deg  R: 0.25deg  P: 107.63deg  aX: 0.12m/s2  aY: -9.39m/s2  aZ: -2.87m/s2 
